year,month_number,part_of_week,start_station,dest_station,avg_num_riders
2017,01,weekday,BF,RM,31.05
2017,01,weekday,HY,RM,34.85
2017,01,weekday,WC,RM,20.25
2017,01,weekday,FV,RM,87.25
2017,01,weekday,DC,RM,59.55
2017,01,weekday,BK,RM,415.2
2017,01,weekday,WD,RM,4.55
2017,01,weekday,WS,RM,0.0
2017,01,weekday,WP,RM,35.4
2017,01,weekday,LM,RM,42.25
2017,01,weekday,LF,RM,5.8
2017,01,weekday,RR,RM,18.65
2017,01,weekday,MT,RM,399.35
2017,01,weekday,NB,RM,73.6
2017,01,weekday,NC,RM,5.25
2017,01,weekday,FM,RM,33.55
2017,01,weekday,RM,RM,16.7
2017,01,weekday,PH,RM,12.1
2017,01,weekday,PL,RM,415.6
2017,01,weekday,EM,RM,355.45
2017,01,weekday,24,RM,188.95
2017,01,weekday,EN,RM,122.8
2017,01,weekday,CN,RM,26.5
2017,01,weekday,CM,RM,15.75
2017,01,weekday,CL,RM,66.15
2017,01,weekday,CC,RM,327.35
2017,01,weekday,ED,RM,13.25
2017,01,weekday,BP,RM,67.9
2017,01,weekday,AS,RM,100.2
2017,01,weekday,GP,RM,44.3
2017,01,weekday,CV,RM,4.2
2017,01,weekday,12,RM,188.3
2017,01,weekday,MA,RM,145.15
2017,01,weekday,16,RM,180.75
2017,01,weekday,SS,RM,12.15
2017,01,weekday,MB,RM,26.95
2017,01,weekday,OA,RM,11.9
2017,01,weekday,19,RM,147.45
2017,01,weekday,SH,RM,22.65
2017,01,weekday,SO,RM,55.55
2017,01,weekday,SL,RM,32.9
2017,01,weekday,OW,RM,27.8
2017,01,weekday,SB,RM,18.4
2017,01,weekday,OR,RM,7.15
2017,01,weekday,UC,RM,18.45
2017,01,weekday,EP,RM,90.15
2017,01,weekday,BF,EN,48.75
2017,01,weekday,HY,EN,84.15
2017,01,weekday,WC,EN,31.4
2017,01,weekday,FV,EN,120.8
2017,01,weekday,DC,EN,109.45
2017,01,weekday,BK,EN,898.15
2017,01,weekday,WD,EN,11.8
2017,01,weekday,WS,EN,0.0
2017,01,weekday,WP,EN,31.65
2017,01,weekday,LM,EN,94.75
2017,01,weekday,LF,EN,9.7
2017,01,weekday,RR,EN,38.95
2017,01,weekday,MT,EN,1084.15
2017,01,weekday,NB,EN,96.65
2017,01,weekday,NC,EN,7.2
2017,01,weekday,FM,EN,80.25
2017,01,weekday,RM,EN,145.2
2017,01,weekday,PH,EN,20.5
2017,01,weekday,PL,EN,911.5
2017,01,weekday,EM,EN,974.45
2017,01,weekday,24,EN,222.35
2017,01,weekday,EN,EN,27.85
2017,01,weekday,CN,EN,36.0
2017,01,weekday,CM,EN,26.5
2017,01,weekday,CL,EN,117.8
2017,01,weekday,CC,EN,819.4
2017,01,weekday,ED,EN,26.25
2017,01,weekday,BP,EN,109.1
2017,01,weekday,AS,EN,155.1
2017,01,weekday,GP,EN,89.1
2017,01,weekday,CV,EN,7.4
2017,01,weekday,12,EN,620.1
2017,01,weekday,MA,EN,276.05
2017,01,weekday,16,EN,267.85
2017,01,weekday,SS,EN,39.95
2017,01,weekday,MB,EN,71.8
2017,01,weekday,OA,EN,33.55
2017,01,weekday,19,EN,480.05
2017,01,weekday,SH,EN,28.15
2017,01,weekday,SO,EN,108.95
2017,01,weekday,SL,EN,59.25
2017,01,weekday,OW,EN,40.7
2017,01,weekday,SB,EN,48.4
2017,01,weekday,OR,EN,13.2
2017,01,weekday,UC,EN,40.1
2017,01,weekday,EP,EN,103.75
2017,01,weekday,BF,EP,16.15
2017,01,weekday,HY,EP,27.45
2017,01,weekday,WC,EP,21.75
2017,01,weekday,FV,EP,55.25
2017,01,weekday,DC,EP,41.75
2017,01,weekday,BK,EP,689.25
2017,01,weekday,WD,EP,8.25
2017,01,weekday,WS,EP,0.0
2017,01,weekday,WP,EP,15.65
2017,01,weekday,LM,EP,61.9
2017,01,weekday,LF,EP,9.0
2017,01,weekday,RR,EP,30.85
2017,01,weekday,MT,EP,681.3
2017,01,weekday,NB,EP,63.3
2017,01,weekday,NC,EP,3.2
2017,01,weekday,FM,EP,47.75
2017,01,weekday,RM,EP,100.8
2017,01,weekday,PH,EP,16.7
2017,01,weekday,PL,EP,415.8
2017,01,weekday,EM,EP,586.1
2017,01,weekday,24,EP,71.2
2017,01,weekday,EN,EP,93.9
2017,01,weekday,CN,EP,22.45
2017,01,weekday,CM,EP,6.55
2017,01,weekday,CL,EP,45.0
2017,01,weekday,CC,EP,450.95
2017,01,weekday,ED,EP,19.05
2017,01,weekday,BP,EP,39.35
2017,01,weekday,AS,EP,84.6
2017,01,weekday,GP,EP,35.5
2017,01,weekday,CV,EP,3.85
2017,01,weekday,12,EP,340.35
2017,01,weekday,MA,EP,146.05
2017,01,weekday,16,EP,134.9
2017,01,weekday,SS,EP,9.85
2017,01,weekday,MB,EP,35.45
2017,01,weekday,OA,EP,24.5
2017,01,weekday,19,EP,318.3
2017,01,weekday,SH,EP,8.75
2017,01,weekday,SO,EP,61.0
2017,01,weekday,SL,EP,31.65
2017,01,weekday,OW,EP,16.8
2017,01,weekday,SB,EP,13.6
2017,01,weekday,OR,EP,6.45
2017,01,weekday,UC,EP,19.1
2017,01,weekday,EP,EP,20.85
2017,01,weekday,BF,NB,18.75
2017,01,weekday,HY,NB,28.05
2017,01,weekday,WC,NB,24.4
