month_number,part_of_week,start_station,dest_station,2017,2018,diff_2017_to_2018,diff_pct_2017_to_2018,categorical_from_station,categorical_dest_station,from_station_full,to_station_full
1,weekday,12,12,47.05,36.714285714285715,-10.335714285714282,0.780324882344011,12,12,12th Street / Oakland City Center,12th Street / Oakland City Center
1,weekday,12,16,294.8,292.38095238095235,-2.41904761904766,0.9917942753763648,12,16,12th Street / Oakland City Center,16th Street Mission
1,weekday,12,19,56.8,58.904761904761905,2.104761904761908,1.0370556673373574,12,19,12th Street / Oakland City Center,19th Street Oakland
1,weekday,12,24,283.35,270.1904761904762,-13.159523809523819,0.953557353769106,12,24,12th Street / Oakland City Center,24th Street Mission
1,weekday,12,AS,259.6,251.66666666666663,-7.933333333333394,0.9694401643554184,12,AS,12th Street / Oakland City Center,Ashby
1,weekday,12,BF,319.65,297.1904761904762,-22.459523809523773,0.9297371380900241,12,BF,12th Street / Oakland City Center,Bayfair
1,weekday,12,BK,556.3,528.4285714285714,-27.87142857142851,0.9498985644950054,12,BK,12th Street / Oakland City Center,Berkeley
1,weekday,12,BP,134.55,151.57142857142858,17.021428571428572,1.1265063438976481,12,BP,12th Street / Oakland City Center,Balboa Park
1,weekday,12,CC,751.35,726.047619047619,-25.302380952380986,0.9663241086678899,12,CC,12th Street / Oakland City Center,Civic Center
1,weekday,12,CL,311.85,274.57142857142856,-37.27857142857147,0.8804599280789756,12,CL,12th Street / Oakland City Center,Coliseum
1,weekday,12,CM,121.9,122.61904761904762,0.7190476190476147,1.0058986679167154,12,CM,12th Street / Oakland City Center,Colma
1,weekday,12,CN,347.15,330.42857142857144,-16.721428571428532,0.9518322668257856,12,CN,12th Street / Oakland City Center,Concord
1,weekday,12,CV,107.9,105.38095238095238,-2.519047619047626,0.9766538682201332,12,CV,12th Street / Oakland City Center,Castro Valley
1,weekday,12,DC,172.95,181.90476190476193,8.954761904761938,1.0517765938407744,12,DC,12th Street / Oakland City Center,Daly City
1,weekday,12,ED,220.55,231.3809523809524,10.830952380952397,1.0491088296574582,12,ED,12th Street / Oakland City Center,Dublin/Pleasanton
1,weekday,12,EM,1640.25,1622.0,-18.25,0.9888736473098613,12,EM,12th Street / Oakland City Center,Embarcadero
1,weekday,12,EN,620.1,562.2857142857143,-57.81428571428569,0.9067661897850577,12,EN,12th Street / Oakland City Center,El Cerrito Del Norte
1,weekday,12,EP,340.35,336.3333333333333,-4.016666666666708,0.9881984231918123,12,EP,12th Street / Oakland City Center,El Cerrito Plaza
1,weekday,12,FM,345.65,261.0952380952381,-84.5547619047619,0.755374622002714,12,FM,12th Street / Oakland City Center,Fremont
1,weekday,12,FV,253.35,215.33333333333331,-38.01666666666668,0.849944082626143,12,FV,12th Street / Oakland City Center,Fruitvale
1,weekday,12,GP,151.25,151.80952380952382,0.5595238095238244,1.0036993309720583,12,GP,12th Street / Oakland City Center,Glen Park
1,weekday,12,HY,293.65,270.23809523809524,-23.411904761904736,0.9202727574939392,12,HY,12th Street / Oakland City Center,Hayward
1,weekday,12,LF,158.25,135.38095238095238,-22.86904761904762,0.8554878507485143,12,LF,12th Street / Oakland City Center,Lafayette
1,weekday,12,LM,47.8,42.333333333333336,-5.4666666666666615,0.885634588563459,12,LM,12th Street / Oakland City Center,Lake Merritt
1,weekday,12,MA,254.9,228.0,-26.900000000000006,0.8944684189878384,12,MA,12th Street / Oakland City Center,MacArthur
1,weekday,12,MB,140.5,141.14285714285714,0.6428571428571388,1.0045754956786985,12,MB,12th Street / Oakland City Center,Millbrae
1,weekday,12,MT,1204.0,1193.8095238095239,-10.190476190476147,0.9915361493434584,12,MT,12th Street / Oakland City Center,Montgomery Street
1,weekday,12,NB,245.65,249.33333333333331,3.6833333333333087,1.0149942329873125,12,NB,12th Street / Oakland City Center,North Berkeley
1,weekday,12,NC,163.0,161.71428571428572,-1.2857142857142776,0.9921121822962314,12,NC,12th Street / Oakland City Center,North Concord
1,weekday,12,OA,46.3,40.42857142857143,-5.871428571428567,0.873187287874113,12,OA,12th Street / Oakland City Center,Oakland International Airport
1,weekday,12,OR,124.0,123.61904761904762,-0.3809523809523796,0.9969278033794163,12,OR,12th Street / Oakland City Center,Orinda
1,weekday,12,OW,113.9,96.57142857142857,-17.328571428571436,0.8478615326727705,12,OW,12th Street / Oakland City Center,West Oakland
1,weekday,12,PH,370.9,397.90476190476187,27.004761904761892,1.0728087406437365,12,PH,12th Street / Oakland City Center,Pleasant Hill
1,weekday,12,PL,767.0,784.2857142857142,17.28571428571422,1.0225367852486495,12,PL,12th Street / Oakland City Center,Powell Street
1,weekday,12,RM,188.3,180.09523809523807,-8.204761904761938,0.9564271805376424,12,RM,12th Street / Oakland City Center,Richmond
1,weekday,12,RR,190.0,190.23809523809524,0.2380952380952408,1.0012531328320802,12,RR,12th Street / Oakland City Center,Rockridge
1,weekday,12,SB,80.4,81.80952380952381,1.4095238095238045,1.017531390665719,12,SB,12th Street / Oakland City Center,San Bruno
1,weekday,12,SH,161.45,165.95238095238096,4.502380952380975,1.0278871536226757,12,SH,12th Street / Oakland City Center,South Hayward
1,weekday,12,SL,382.2,348.0476190476191,-34.152380952380895,0.9106426453365231,12,SL,12th Street / Oakland City Center,San Leandro
1,weekday,12,SO,102.2,112.42857142857143,10.228571428571428,1.100083869164104,12,SO,12th Street / Oakland City Center,San Francisco International Airport
1,weekday,12,SS,80.7,87.80952380952381,7.109523809523807,1.0880981884699357,12,SS,12th Street / Oakland City Center,South San Francisco
1,weekday,12,UC,207.0,203.0,-4.0,0.9806763285024155,12,UC,12th Street / Oakland City Center,Union City
1,weekday,12,WC,302.3,323.7142857142857,21.41428571428571,1.0708378621048154,12,WC,12th Street / Oakland City Center,Walnut Creek
1,weekday,12,WD,117.1,121.14285714285714,4.0428571428571445,1.0345248261559108,12,WD,12th Street / Oakland City Center,West Dublin/Pleasanton
1,weekday,12,WP,340.0,333.85714285714283,-6.142857142857167,0.9819327731092437,12,WP,12th Street / Oakland City Center,Pittsburg/Bay Point
1,weekday,12,WS,0.0,90.5238095238095,90.5238095238095,inf,12,WS,12th Street / Oakland City Center,Warm Springs
1,weekday,16,12,336.55,335.14285714285717,-1.4071428571428442,0.9958189188615575,16,12,16th Street Mission,12th Street / Oakland City Center
1,weekday,16,16,55.3,26.095238095238088,-29.20476190476191,0.47188495651425116,16,16,16th Street Mission,16th Street Mission
1,weekday,16,19,454.7,428.57142857142856,-26.128571428571433,0.9425366803858116,16,19,16th Street Mission,19th Street Oakland
1,weekday,16,24,265.15,215.76190476190484,-49.38809523809513,0.8137352621606821,16,24,16th Street Mission,24th Street Mission
1,weekday,16,AS,231.9,229.57142857142856,-2.3285714285714505,0.9899587260518695,16,AS,16th Street Mission,Ashby
1,weekday,16,BF,130.25,142.19047619047618,11.940476190476176,1.09167352161594,16,BF,16th Street Mission,Bayfair
1,weekday,16,BK,318.4,301.6666666666667,-16.73333333333329,0.9474455611390286,16,BK,16th Street Mission,Berkeley
1,weekday,16,BP,565.9,520.4285714285714,-45.47142857142853,0.9196475904374827,16,BP,16th Street Mission,Balboa Park
1,weekday,16,CC,664.1,558.2380952380952,-105.86190476190484,0.8405934275532226,16,CC,16th Street Mission,Civic Center
1,weekday,16,CL,155.15,152.85714285714286,-2.2928571428571445,0.9852216748768473,16,CL,16th Street Mission,Coliseum
1,weekday,16,CM,133.15,130.85714285714286,-2.2928571428571445,0.9827798937825224,16,CM,16th Street Mission,Colma
1,weekday,16,CN,139.7,141.38095238095238,1.680952380952391,1.0120325868357365,16,CN,16th Street Mission,Concord
1,weekday,16,CV,67.0,70.28571428571429,3.285714285714292,1.049040511727079,16,CV,16th Street Mission,Castro Valley
1,weekday,16,DC,299.0,281.42857142857144,-17.571428571428555,0.9412326803631152,16,DC,16th Street Mission,Daly City
1,weekday,16,ED,170.35,210.09523809523807,39.74523809523808,1.233315163458985,16,ED,16th Street Mission,Dublin/Pleasanton
1,weekday,16,EM,1148.35,1094.142857142857,-54.2071428571428,0.9527956260224297,16,EM,16th Street Mission,Embarcadero
1,weekday,16,EN,267.85,265.3809523809524,-2.4690476190476147,0.9907819764082598,16,EN,16th Street Mission,El Cerrito Del Norte
1,weekday,16,EP,134.9,125.66666666666669,-9.23333333333332,0.9315542377069436,16,EP,16th Street Mission,El Cerrito Plaza
1,weekday,16,FM,129.65,109.61904761904762,-20.030952380952385,0.8454997888086974,16,FM,16th Street Mission,Fremont
1,weekday,16,FV,329.3,304.14285714285717,-25.157142857142844,0.9236041820311484,16,FV,16th Street Mission,Fruitvale
1,weekday,16,GP,330.95,302.3333333333333,-28.616666666666674,0.913531752026993,16,GP,16th Street Mission,Glen Park
1,weekday,16,HY,89.35,89.09523809523809,-0.2547619047619065,0.9971487195885629,16,HY,16th Street Mission,Hayward
1,weekday,16,LF,72.45,55.28571428571429,-17.16428571428571,0.7630878438331855,16,LF,16th Street Mission,Lafayette
1,weekday,16,LM,242.0,233.52380952380955,-8.476190476190453,0.9649744195198742,16,LM,16th Street Mission,Lake Merritt
1,weekday,16,MA,413.9,390.4285714285714,-23.47142857142859,0.9432920305111655,16,MA,16th Street Mission,MacArthur
1,weekday,16,MB,215.6,223.42857142857144,7.8285714285714505,1.0363106281473629,16,MB,16th Street Mission,Millbrae
1,weekday,16,MT,1501.75,1449.857142857143,-51.89285714285711,0.9654450759827821,16,MT,16th Street Mission,Montgomery Street
1,weekday,16,NB,164.7,157.33333333333334,-7.366666666666646,0.9552722121028133,16,NB,16th Street Mission,North Berkeley
1,weekday,16,NC,75.9,79.04761904761905,3.1476190476190453,1.041470606687998,16,NC,16th Street Mission,North Concord
1,weekday,16,OA,20.9,16.714285714285715,-4.185714285714283,0.7997265892002735,16,OA,16th Street Mission,Oakland International Airport
1,weekday,16,OR,54.25,54.47619047619048,0.2261904761904816,1.0041694096993636,16,OR,16th Street Mission,Orinda
1,weekday,16,OW,351.6,352.66666666666674,1.0666666666667197,1.0030337504740237,16,OW,16th Street Mission,West Oakland
1,weekday,16,PH,147.9,164.85714285714286,16.957142857142856,1.114652757654786,16,PH,16th Street Mission,Pleasant Hill
1,weekday,16,PL,1259.85,1176.8095238095239,-83.04047619047606,0.9340870133821677,16,PL,16th Street Mission,Powell Street
1,weekday,16,RM,180.75,172.09523809523807,-8.654761904761926,0.952117499835342,16,RM,16th Street Mission,Richmond
1,weekday,16,RR,210.2,201.0,-9.199999999999989,0.9562321598477641,16,RR,16th Street Mission,Rockridge
1,weekday,16,SB,125.1,126.8095238095238,1.7095238095238017,1.0136652582695747,16,SB,16th Street Mission,San Bruno
1,weekday,16,SH,75.95,80.80952380952381,4.859523809523807,1.063983196965422,16,SH,16th Street Mission,South Hayward
1,weekday,16,SL,151.5,170.57142857142858,19.071428571428584,1.125884016973126,16,SL,16th Street Mission,San Leandro
1,weekday,16,SO,139.35,133.0,-6.349999999999994,0.9544312881234303,16,SO,16th Street Mission,San Francisco International Airport
1,weekday,16,SS,124.8,120.4761904761905,-4.323809523809501,0.9653540903540906,16,SS,16th Street Mission,South San Francisco
1,weekday,16,UC,76.25,86.61904761904762,10.36904761904762,1.1359875097580017,16,UC,16th Street Mission,Union City
1,weekday,16,WC,122.8,132.95238095238096,10.152380952380966,1.082674111990073,16,WC,16th Street Mission,Walnut Creek
1,weekday,16,WD,63.55,81.85714285714286,18.307142857142864,1.2880746318983929,16,WD,16th Street Mission,West Dublin/Pleasanton
1,weekday,16,WP,200.55,220.047619047619,19.497619047618997,1.097220738208023,16,WP,16th Street Mission,Pittsburg/Bay Point
1,weekday,16,WS,0.0,54.714285714285715,54.714285714285715,inf,16,WS,16th Street Mission,Warm Springs
1,weekday,19,12,60.9,56.19047619047619,-4.709523809523809,0.9226679177418093,19,12,19th Street Oakland,12th Street / Oakland City Center
1,weekday,19,16,419.95,403.5238095238095,-16.42619047619047,0.9608853661717098,19,16,19th Street Oakland,16th Street Mission
1,weekday,19,19,47.25,29.57142857142857,-17.67857142857143,0.6258503401360543,19,19,19th Street Oakland,19th Street Oakland
1,weekday,19,24,319.15,302.42857142857144,-16.721428571428532,0.9476063651216402,19,24,19th Street Oakland,24th Street Mission
1,weekday,19,AS,273.8,263.6666666666667,-10.133333333333326,0.9629900170440712,19,AS,19th Street Oakland,Ashby
1,weekday,19,BF,210.95,211.047619047619,0.09761904761901974,1.000462759173354,19,BF,19th Street Oakland,Bayfair
1,weekday,19,BK,545.2,562.2857142857143,17.08571428571429,1.0313384341264018,19,BK,19th Street Oakland,Berkeley
1,weekday,19,BP,112.95,111.33333333333331,-1.6166666666666885,0.9856868821012246,19,BP,19th Street Oakland,Balboa Park
1,weekday,19,CC,870.6,867.952380952381,-2.6476190476190595,0.9969588570553423,19,CC,19th Street Oakland,Civic Center
1,weekday,19,CL,186.8,157.9047619047619,-28.895238095238113,0.8453145712246354,19,CL,19th Street Oakland,Coliseum
1,weekday,19,CM,78.15,69.0,-9.150000000000006,0.8829174664107485,19,CM,19th Street Oakland,Colma
1,weekday,19,CN,328.8,321.3333333333333,-7.466666666666697,0.9772911597729115,19,CN,19th Street Oakland,Concord
1,weekday,19,CV,78.85,66.47619047619048,-12.373809523809513,0.8430715342573302,19,CV,19th Street Oakland,Castro Valley
1,weekday,19,DC,145.2,136.61904761904762,-8.580952380952368,0.9409025318116228,19,DC,19th Street Oakland,Daly City
1,weekday,19,ED,214.4,227.28571428571428,12.885714285714272,1.0601012793176972,19,ED,19th Street Oakland,Dublin/Pleasanton
1,weekday,19,EM,1767.75,1762.047619047619,-5.702380952380963,0.996774215272306,19,EM,19th Street Oakland,Embarcadero
1,weekday,19,EN,480.05,471.4761904761905,-8.57380952380953,0.9821397572673481,19,EN,19th Street Oakland,El Cerrito Del Norte
1,weekday,19,EP,318.3,298.0,-20.30000000000001,0.9362236883443292,19,EP,19th Street Oakland,El Cerrito Plaza
1,weekday,19,FM,381.05,316.7619047619048,-64.2880952380952,0.8312869827106805,19,FM,19th Street Oakland,Fremont
1,weekday,19,FV,200.1,189.0,-11.099999999999994,0.9445277361319341,19,FV,19th Street Oakland,Fruitvale
1,weekday,19,GP,158.8,169.47619047619048,10.67619047619047,1.067230418615809,19,GP,19th Street Oakland,Glen Park
1,weekday,19,HY,226.95,205.23809523809524,-21.711904761904748,0.9043317701612481,19,HY,19th Street Oakland,Hayward
1,weekday,19,LF,162.6,145.42857142857142,-17.171428571428578,0.8943946582322966,19,LF,19th Street Oakland,Lafayette
1,weekday,19,LM,43.8,44.19047619047619,0.39047619047619264,1.0089149815177212,19,LM,19th Street Oakland,Lake Merritt
1,weekday,19,MA,209.9,195.6190476190476,-14.280952380952414,0.9319630663127565,19,MA,19th Street Oakland,MacArthur
1,weekday,19,MB,142.7,133.95238095238096,-8.747619047619025,0.9386992358260755,19,MB,19th Street Oakland,Millbrae
1,weekday,19,MT,1435.3,1500.3809523809525,65.08095238095257,1.0453431006625462,19,MT,19th Street Oakland,Montgomery Street
1,weekday,19,NB,267.3,285.1904761904762,17.890476190476193,1.0669303261895855,19,NB,19th Street Oakland,North Berkeley
1,weekday,19,NC,165.65,168.14285714285714,2.492857142857133,1.0150489413996808,19,NC,19th Street Oakland,North Concord
1,weekday,19,OA,37.15,34.61904761904762,-2.530952380952378,0.9318720758828432,19,OA,19th Street Oakland,Oakland International Airport
1,weekday,19,OR,110.35,115.09523809523809,4.7452380952380935,1.0430017045331952,19,OR,19th Street Oakland,Orinda
1,weekday,19,OW,66.3,61.23809523809525,-5.061904761904749,0.9236515118868062,19,OW,19th Street Oakland,West Oakland
1,weekday,19,PH,378.75,382.9523809523809,4.202380952380906,1.0110953952538109,19,PH,19th Street Oakland,Pleasant Hill
1,weekday,19,PL,796.9,766.190476190476,-30.709523809523944,0.9614637673365241,19,PL,19th Street Oakland,Powell Street
1,weekday,19,RM,147.45,149.19047619047618,1.740476190476187,1.0118038398811542,19,RM,19th Street Oakland,Richmond
1,weekday,19,RR,210.85,207.90476190476193,-2.945238095238068,0.9860315954695847,19,RR,19th Street Oakland,Rockridge
1,weekday,19,SB,65.9,70.95238095238095,5.052380952380943,1.0766673892622298,19,SB,19th Street Oakland,San Bruno
1,weekday,19,SH,156.65,142.19047619047618,-14.45952380952383,0.9076953475293723,19,SH,19th Street Oakland,South Hayward
1,weekday,19,SL,240.55,231.19047619047618,-9.359523809523836,0.961091150241015,19,SL,19th Street Oakland,San Leandro
1,weekday,19,SO,71.8,85.76190476190476,13.961904761904762,1.194455498076668,19,SO,19th Street Oakland,San Francisco International Airport
1,weekday,19,SS,65.65,68.66666666666667,3.0166666666666657,1.045950748921046,19,SS,19th Street Oakland,South San Francisco
1,weekday,19,UC,229.15,215.76190476190484,-13.388095238095161,0.9415749716862528,19,UC,19th Street Oakland,Union City
1,weekday,19,WC,320.6,343.80952380952385,23.20952380952383,1.072394023111428,19,WC,19th Street Oakland,Walnut Creek
1,weekday,19,WD,96.5,114.90476190476191,18.404761904761912,1.1907229212928696,19,WD,19th Street Oakland,West Dublin/Pleasanton
1,weekday,19,WP,260.05,281.5238095238095,21.473809523809507,1.0825756951502,19,WP,19th Street Oakland,Pittsburg/Bay Point
1,weekday,19,WS,0.0,110.42857142857143,110.42857142857143,inf,19,WS,19th Street Oakland,Warm Springs
1,weekday,24,12,316.2,306.38095238095235,-9.819047619047637,0.9689467184723352,24,12,24th Street Mission,12th Street / Oakland City Center
1,weekday,24,16,241.2,196.3809523809524,-44.81904761904758,0.8141830529890233,24,16,24th Street Mission,16th Street Mission
1,weekday,24,19,335.55,322.1904761904762,-13.359523809523807,0.9601861904052338,24,19,24th Street Mission,19th Street Oakland
1,weekday,24,24,59.25,28.57142857142857,-30.67857142857143,0.48221820373719104,24,24,24th Street Mission,24th Street Mission
1,weekday,24,AS,126.65,133.28571428571428,6.635714285714272,1.0523941120072189,24,AS,24th Street Mission,Ashby
1,weekday,24,BF,84.35,80.66666666666667,-3.683333333333323,0.9563327405651059,24,BF,24th Street Mission,Bayfair
1,weekday,24,BK,250.25,231.09523809523807,-19.154761904761926,0.9234574948860662,24,BK,24th Street Mission,Berkeley
1,weekday,24,BP,520.3,479.38095238095235,-40.9190476190476,0.9213548959849172,24,BP,24th Street Mission,Balboa Park
1,weekday,24,CC,1084.55,944.7142857142856,-139.8357142857144,0.8710656822777055,24,CC,24th Street Mission,Civic Center
1,weekday,24,CL,122.85,125.61904761904762,2.769047619047626,1.0225400701591179,24,CL,24th Street Mission,Coliseum
1,weekday,24,CM,117.9,113.09523809523809,-4.804761904761918,0.9592471424532493,24,CM,24th Street Mission,Colma
1,weekday,24,CN,85.55,84.66666666666667,-0.8833333333333258,0.9896746541983247,24,CN,24th Street Mission,Concord
1,weekday,24,CV,27.55,30.619047619047624,3.0690476190476232,1.111399187624233,24,CV,24th Street Mission,Castro Valley
1,weekday,24,DC,253.8,231.90476190476193,-21.895238095238085,0.9137303463544598,24,DC,24th Street Mission,Daly City
1,weekday,24,ED,92.65,84.61904761904762,-8.030952380952385,0.913319456222856,24,ED,24th Street Mission,Dublin/Pleasanton
1,weekday,24,EM,1832.75,1769.047619047619,-63.70238095238096,0.9652421874492533,24,EM,24th Street Mission,Embarcadero
1,weekday,24,EN,222.35,204.52380952380955,-17.826190476190447,0.9198282416182125,24,EN,24th Street Mission,El Cerrito Del Norte
1,weekday,24,EP,71.2,73.57142857142857,2.3714285714285666,1.03330658105939,24,EP,24th Street Mission,El Cerrito Plaza
1,weekday,24,FM,52.5,36.714285714285715,-15.785714285714285,0.6993197278911565,24,FM,24th Street Mission,Fremont
1,weekday,24,FV,230.85,217.66666666666663,-13.183333333333366,0.94289220994874,24,FV,24th Street Mission,Fruitvale
1,weekday,24,GP,253.85,250.3809523809524,-3.4690476190475863,0.986334261890693,24,GP,24th Street Mission,Glen Park
1,weekday,24,HY,61.1,60.47619047619048,-0.6238095238095198,0.9897903514924792,24,HY,24th Street Mission,Hayward
1,weekday,24,LF,34.65,36.857142857142854,2.2071428571428555,1.0636982065553493,24,LF,24th Street Mission,Lafayette
1,weekday,24,LM,146.05,151.71428571428572,5.664285714285711,1.0387831955788136,24,LM,24th Street Mission,Lake Merritt
1,weekday,24,MA,250.6,221.90476190476193,-28.695238095238068,0.8854938623494092,24,MA,24th Street Mission,MacArthur
1,weekday,24,MB,203.05,182.6190476190476,-20.43095238095242,0.8993796977052331,24,MB,24th Street Mission,Millbrae
1,weekday,24,MT,2533.7,2426.5238095238096,-107.17619047619019,0.9576997314298495,24,MT,24th Street Mission,Montgomery Street
1,weekday,24,NB,94.45,99.4761904761905,5.026190476190493,1.0532153570798357,24,NB,24th Street Mission,North Berkeley
1,weekday,24,NC,50.3,42.19047619047619,-8.109523809523807,0.8387768626337215,24,NC,24th Street Mission,North Concord
1,weekday,24,OA,18.8,16.571428571428573,-2.2285714285714278,0.8814589665653496,24,OA,24th Street Mission,Oakland International Airport
1,weekday,24,OR,32.4,28.904761904761905,-3.4952380952380935,0.89212228101117,24,OR,24th Street Mission,Orinda
1,weekday,24,OW,194.8,205.19047619047618,10.390476190476164,1.0533392001564486,24,OW,24th Street Mission,West Oakland
1,weekday,24,PH,79.4,78.33333333333333,-1.066666666666677,0.9865659109991602,24,PH,24th Street Mission,Pleasant Hill
1,weekday,24,PL,1647.45,1570.333333333333,-77.11666666666702,0.9531902839742226,24,PL,24th Street Mission,Powell Street
1,weekday,24,RM,188.95,174.61904761904762,-14.330952380952368,0.9241547902569337,24,RM,24th Street Mission,Richmond
1,weekday,24,RR,110.7,104.76190476190477,-5.938095238095229,0.9463586699359058,24,RR,24th Street Mission,Rockridge
1,weekday,24,SB,125.35,110.14285714285714,-15.207142857142856,0.8786825460140179,24,SB,24th Street Mission,San Bruno
1,weekday,24,SH,43.0,40.23809523809524,-2.761904761904759,0.9357696566998893,24,SH,24th Street Mission,South Hayward
1,weekday,24,SL,100.15,101.95238095238096,1.8023809523809575,1.0179968143023561,24,SL,24th Street Mission,San Leandro
1,weekday,24,SO,117.2,107.8095238095238,-9.390476190476207,0.9198764830164147,24,SO,24th Street Mission,San Francisco International Airport
1,weekday,24,SS,97.3,108.1904761904762,10.890476190476207,1.1119267851025303,24,SS,24th Street Mission,South San Francisco
1,weekday,24,UC,37.3,33.142857142857146,-4.157142857142851,0.8885484488701648,24,UC,24th Street Mission,Union City
1,weekday,24,WC,72.95,66.23809523809524,-6.711904761904762,0.9079930807141225,24,WC,24th Street Mission,Walnut Creek
1,weekday,24,WD,37.0,40.333333333333336,3.3333333333333357,1.09009009009009,24,WD,24th Street Mission,West Dublin/Pleasanton
1,weekday,24,WP,158.15,160.0952380952381,1.9452380952380963,1.0122999563404242,24,WP,24th Street Mission,Pittsburg/Bay Point
1,weekday,24,WS,0.0,21.952380952380953,21.952380952380953,inf,24,WS,24th Street Mission,Warm Springs
1,weekday,AS,12,249.8,239.80952380952382,-9.990476190476187,0.9600061001181898,AS,12,Ashby,12th Street / Oakland City Center
1,weekday,AS,16,213.55,221.09523809523807,7.545238095238062,1.0353324190832969,AS,16,Ashby,16th Street Mission
1,weekday,AS,19,275.6,262.23809523809524,-13.361904761904782,0.9515170364226967,AS,19,Ashby,19th Street Oakland
1,weekday,AS,24,120.55,117.95238095238096,-2.597619047619034,0.9784519365606053,AS,24,Ashby,24th Street Mission
1,weekday,AS,AS,20.35,15.142857142857142,-5.207142857142859,0.744120744120744,AS,AS,Ashby,Ashby
1,weekday,AS,BF,31.55,30.857142857142854,-0.6928571428571466,0.9780393932533392,AS,BF,Ashby,Bayfair
1,weekday,AS,BK,398.6,360.7619047619048,-37.83809523809521,0.9050725157097461,AS,BK,Ashby,Berkeley
1,weekday,AS,BP,42.35,36.476190476190474,-5.873809523809527,0.8613031989655365,AS,BP,Ashby,Balboa Park
1,weekday,AS,CC,506.4,485.66666666666674,-20.733333333333235,0.9590573986308586,AS,CC,Ashby,Civic Center
1,weekday,AS,CL,63.5,63.19047619047619,-0.3095238095238102,0.9951256092988376,AS,CL,Ashby,Coliseum
1,weekday,AS,CM,9.55,8.285714285714286,-1.2642857142857142,0.8676140613313388,AS,CM,Ashby,Colma
1,weekday,AS,CN,27.3,21.571428571428577,-5.728571428571424,0.7901622187336474,AS,CN,Ashby,Concord
1,weekday,AS,CV,7.9,7.666666666666668,-0.2333333333333325,0.9704641350210972,AS,CV,Ashby,Castro Valley
1,weekday,AS,DC,35.7,42.047619047619044,6.347619047619041,1.1778044551153792,AS,DC,Ashby,Daly City
1,weekday,AS,ED,19.25,23.142857142857146,3.892857142857146,1.202226345083488,AS,ED,Ashby,Dublin/Pleasanton
1,weekday,AS,EM,953.75,896.6666666666665,-57.083333333333485,0.9401485364788116,AS,EM,Ashby,Embarcadero
1,weekday,AS,EN,155.1,139.38095238095238,-15.719047619047615,0.89865217524792,AS,EN,Ashby,El Cerrito Del Norte
1,weekday,AS,EP,84.6,83.04761904761905,-1.5523809523809433,0.9816503433524711,AS,EP,Ashby,El Cerrito Plaza
1,weekday,AS,FM,64.0,30.57142857142857,-33.42857142857143,0.4776785714285714,AS,FM,Ashby,Fremont
1,weekday,AS,FV,89.75,93.90476190476191,4.154761904761912,1.0462926117522218,AS,FV,Ashby,Fruitvale
1,weekday,AS,GP,35.4,32.1904761904762,-3.2095238095238017,0.9093354856066722,AS,GP,Ashby,Glen Park
